project_id,skill_id,importance_weight,minimum_proficiency,minimum_experience_years,required_flag
P00035,SK025,0.421,Intermediate,2,1
P00035,SK036,0.119,Beginner,1,0
P00036,SK011,0.259,Beginner,1,0
P00036,SK017,0.341,Intermediate,2,1
P00036,SK025,0.4,Intermediate,2,1
P00037,SK001,0.066,Beginner,1,0
P00037,SK006,0.195,Intermediate,3,1
P00037,SK007,0.35,Advanced,4,1
P00037,SK011,0.343,Advanced,4,1
P00037,SK033,0.045,Intermediate,2,0
P00038,SK004,0.132,Intermediate,2,1
P00038,SK024,0.868,Intermediate,2,1
P00039,SK013,0.37,Intermediate,3,1
P00039,SK014,0.042,Intermediate,2,0
P00039,SK017,0.151,Intermediate,3,1
P00039,SK024,0.437,Advanced,4,1
P00040,SK004,0.72,Intermediate,3,1
P00040,SK005,0.225,Beginner,1,1
P00040,SK027,0.055,Intermediate,2,0
P00041,SK001,0.933,Beginner,1,1
P00041,SK008,0.067,Intermediate,2,1
P00042,SK001,0.062,Beginner,1,0
P00042,SK011,0.192,Intermediate,2,1
P00042,SK014,0.321,Intermediate,3,1
P00042,SK018,0.2,Intermediate,2,1
P00042,SK023,0.088,Beginner,1,0
P00042,SK024,0.137,Beginner,1,1
P00043,SK001,0.438,Beginner,1,1
P00043,SK014,0.101,Intermediate,2,0
P00043,SK022,0.461,Intermediate,2,1
P00044,SK001,0.221,Beginner,1,1
P00044,SK024,0.779,Intermediate,3,1
P00045,SK019,0.276,Beginner,1,1
P00045,SK020,0.177,Advanced,4,1
P00045,SK022,0.229,Beginner,1,1
P00045,SK023,0.082,Intermediate,2,0
P00045,SK024,0.041,Intermediate,2,0
P00045,SK026,0.197,Intermediate,3,1
P00046,SK017,0.926,Beginner,1,1
P00046,SK024,0.074,Intermediate,2,1
P00047,SK017,0.279,Advanced,4,1
P00047,SK024,0.664,Intermediate,2,1
P00047,SK027,0.057,Beginner,1,0
P00048,SK020,0.099,Beginner,1,0
P00048,SK023,0.337,Intermediate,2,1
P00048,SK024,0.339,Beginner,1,1
P00048,SK036,0.226,Advanced,4,1
P00049,SK019,0.233,Intermediate,3,1
P00049,SK024,0.536,Beginner,1,1
P00049,SK025,0.12,Intermediate,3,1
P00049,SK026,0.111,Advanced,4,0
P00050,SK005,0.246,Intermediate,3,1
P00050,SK008,0.235,Intermediate,2,0
P00050,SK024,0.519,Advanced,4,1
P00051,SK011,0.46,Advanced,4,1
P00051,SK026,0.54,Advanced,4,1
P00052,SK004,0.177,Beginner,1,1
P00052,SK005,0.504,Intermediate,2,1
P00052,SK024,0.163,Advanced,4,1
P00052,SK027,0.156,Beginner,1,0
P00053,SK005,0.442,Advanced,5,1
P00053,SK027,0.558,Advanced,5,1
P00054,SK024,0.086,Advanced,4,1
P00054,SK025,0.914,Intermediate,2,1
P00055,SK004,1.0,Beginner,1,1
P00056,SK001,0.235,Intermediate,2,0
P00056,SK002,0.471,Advanced,4,1
P00056,SK004,0.293,Advanced,4,1
P00057,SK021,0.187,Intermediate,2,1
P00057,SK024,0.179,Beginner,1,1
P00057,SK025,0.035,Intermediate,2,0
P00057,SK026,0.599,Beginner,2,1
P00058,SK005,0.545,Advanced,5,1
P00058,SK009,0.455,Beginner,1,1
P00059,SK021,0.17,Beginner,1,0
P00059,SK022,0.579,Intermediate,2,1
P00059,SK024,0.25,Intermediate,2,1
P00060,SK019,0.631,Intermediate,2,1
P00060,SK022,0.232,Advanced,4,1
P00060,SK025,0.138,Beginner,1,0
P00061,SK017,0.123,Intermediate,3,1
P00061,SK027,0.877,Advanced,4,1
P00062,SK011,0.111,Intermediate,2,0
P00062,SK024,0.273,Beginner,1,1
P00062,SK027,0.616,Intermediate,2,1
P00063,SK014,0.053,Beginner,1,0
P00063,SK018,0.623,Intermediate,2,1
P00063,SK023,0.147,Advanced,4,1
P00063,SK024,0.178,Advanced,4,1
P00064,SK011,0.254,Intermediate,2,0
P00064,SK024,0.348,Intermediate,2,1
P00064,SK025,0.399,Intermediate,2,1
P00065,SK005,0.426,Intermediate,2,1
P00065,SK027,0.574,Intermediate,2,1
P00066,SK022,0.085,Intermediate,2,0
P00066,SK024,0.571,Intermediate,2,1
P00066,SK026,0.344,Advanced,4,1
P00067,SK011,0.239,Intermediate,2,1
P00067,SK017,0.108,Beginner,1,0
P00067,SK024,0.186,Advanced,5,1
P00067,SK025,0.466,Advanced,4,1
P00068,SK004,0.228,Intermediate,2,1
P00068,SK005,0.772,Advanced,5,1
P00069,SK001,0.229,Intermediate,3,1
P00069,SK004,0.348,Intermediate,3,1
P00069,SK005,0.178,Advanced,5,1
P00069,SK013,0.1,Intermediate,2,0
P00069,SK024,0.144,Beginner,1,0
P00070,SK017,0.297,Intermediate,2,1
P00070,SK024,0.703,Intermediate,3,1
P00071,SK011,0.265,Intermediate,2,1
P00071,SK013,0.457,Intermediate,3,1
P00071,SK014,0.054,Beginner,1,0
P00071,SK018,0.061,Intermediate,2,0
P00071,SK024,0.163,Intermediate,3,1
P00072,SK011,0.214,Advanced,5,1
P00072,SK024,0.786,Advanced,5,1
P00073,SK024,0.532,Intermediate,2,1
P00073,SK034,0.156,Beginner,1,0
P00073,SK036,0.312,Advanced,4,1
P00074,SK011,0.208,Advanced,4,1
P00074,SK024,0.072,Intermediate,2,0
P00074,SK025,0.72,Advanced,4,1
P00075,SK004,0.387,Beginner,1,1
P00075,SK024,0.443,Beginner,2,1
P00075,SK027,0.17,Advanced,4,0
P00076,SK004,0.138,Intermediate,2,1
P00076,SK005,0.729,Intermediate,2,1
P00076,SK027,0.133,Intermediate,2,0
P00077,SK011,0.03,Beginner,1,0
P00077,SK017,0.386,Intermediate,2,1
P00077,SK024,0.303,Beginner,2,1
P00077,SK027,0.281,Intermediate,2,1
P00078,SK011,0.088,Intermediate,2,0
P00078,SK017,0.357,Advanced,4,1
P00078,SK024,0.282,Intermediate,3,1
P00078,SK025,0.274,Beginner,1,1
P00079,SK011,0.168,Intermediate,2,1
P00079,SK017,0.312,Beginner,1,1
P00079,SK024,0.161,Beginner,1,0
P00079,SK027,0.359,Beginner,2,1
P00080,SK011,0.231,Intermediate,2,0
P00080,SK024,0.306,Intermediate,2,1
P00080,SK027,0.463,Intermediate,3,1
P00081,SK001,0.078,Intermediate,2,1
P00081,SK006,0.156,Intermediate,2,1
P00081,SK008,0.187,Beginner,2,1
P00081,SK009,0.053,Intermediate,2,0
P00081,SK011,0.452,Intermediate,2,1
P00081,SK024,0.074,Beginner,1,0
P00082,SK020,0.475,Intermediate,2,1
P00082,SK023,0.525,Intermediate,3,1
P00083,SK002,0.18,Intermediate,3,1
P00083,SK005,0.359,Intermediate,2,1
P00083,SK007,0.188,Intermediate,2,1
P00083,SK009,0.097,Beginner,1,0
P00083,SK010,0.145,Intermediate,3,1
P00083,SK024,0.031,Advanced,4,0
P00084,SK001,0.128,Beginner,1,0
P00084,SK013,0.251,Intermediate,2,1
P00084,SK014,0.201,Intermediate,2,1
P00084,SK017,0.023,Beginner,1,0
P00084,SK018,0.244,Intermediate,3,1
P00084,SK023,0.153,Intermediate,2,1
P00085,SK004,0.356,Beginner,1,1
P00085,SK027,0.644,Beginner,1,1
P00086,SK011,0.575,Intermediate,2,1
P00086,SK017,0.4,Beginner,1,1
P00086,SK024,0.025,Beginner,1,0
P00087,SK011,0.017,Intermediate,2,0
P00087,SK023,0.357,Intermediate,2,1
P00087,SK024,0.01,Beginner,1,0
P00087,SK025,0.369,Intermediate,2,1
P00087,SK026,0.247,Intermediate,2,1
P00088,SK017,0.188,Advanced,5,1
P00088,SK020,0.098,Intermediate,2,0
P00088,SK022,0.714,Intermediate,3,1
P00089,SK001,0.066,Beginner,1,0
P00089,SK005,0.263,Intermediate,2,1
P00089,SK007,0.051,Intermediate,2,0
P00089,SK024,0.179,Intermediate,3,1
P00089,SK036,0.441,Intermediate,3,1
P00090,SK019,0.38,Intermediate,3,1
P00090,SK022,0.143,Beginner,1,0
P00090,SK023,0.278,Intermediate,2,1
P00090,SK026,0.199,Advanced,5,1
P00091,SK002,0.5,Intermediate,3,1
P00091,SK024,0.395,Beginner,2,1
P00091,SK029,0.105,Beginner,1,0
P00092,SK005,0.233,Advanced,4,1
P00092,SK024,0.135,Intermediate,2,0
P00092,SK034,0.631,Advanced,4,1
P00093,SK011,1.0,Advanced,4,1
P00094,SK019,0.288,Intermediate,2,1
P00094,SK020,0.085,Beginner,1,0
P00094,SK021,0.244,Intermediate,3,1
P00094,SK024,0.227,Intermediate,3,1
P00094,SK026,0.156,Beginner,1,0
P00095,SK001,0.191,Intermediate,2,1
P00095,SK004,0.05,Advanced,4,0
P00095,SK024,0.656,Intermediate,2,1
P00095,SK029,0.102,Intermediate,2,1
P00096,SK022,0.092,Beginner,1,0
P00096,SK024,0.343,Advanced,5,1
P00096,SK025,0.156,Advanced,4,1
P00096,SK026,0.409,Intermediate,2,1
P00097,SK001,0.002,Intermediate,2,0
P00097,SK013,0.433,Beginner,1,1
P00097,SK017,0.21,Intermediate,3,1
P00097,SK018,0.234,Intermediate,3,1
P00097,SK022,0.12,Beginner,1,0
P00098,SK011,0.11,Advanced,5,1
P00098,SK017,0.474,Intermediate,3,1
P00098,SK024,0.395,Beginner,1,1
P00098,SK025,0.021,Beginner,1,0
P00099,SK011,0.436,Intermediate,2,1
P00099,SK024,0.452,Intermediate,3,1
P00099,SK027,0.112,Beginner,1,0
P00100,SK011,0.443,Intermediate,2,1
P00100,SK017,0.267,Advanced,4,1
P00100,SK024,0.013,Intermediate,2,0
P00100,SK025,0.278,Beginner,1,1
P00101,SK019,0.143,Advanced,5,1
P00101,SK021,0.047,Beginner,1,0
P00101,SK022,0.077,Intermediate,2,0
P00101,SK024,0.079,Intermediate,2,1
P00101,SK025,0.286,Intermediate,2,1
P00101,SK026,0.092,Intermediate,2,1
P00101,SK036,0.275,Intermediate,3,1
P00102,SK022,0.514,Intermediate,3,1
P00102,SK024,0.432,Advanced,5,1
P00102,SK026,0.055,Beginner,1,0
P00103,SK011,0.196,Beginner,1,0
P00103,SK017,0.199,Intermediate,3,1
P00103,SK025,0.604,Intermediate,2,1
P00104,SK001,0.373,Advanced,4,1
P00104,SK014,0.092,Advanced,4,1
P00104,SK018,0.074,Intermediate,2,0
P00104,SK024,0.462,Intermediate,2,1
P00105,SK004,0.226,Intermediate,2,1
P00105,SK005,0.513,Intermediate,2,1
P00105,SK024,0.164,Beginner,1,1
P00105,SK027,0.097,Beginner,1,0
P00107,SK004,0.173,Intermediate,3,1
P00107,SK005,0.807,Advanced,4,1
P00107,SK027,0.02,Beginner,1,0
P00108,SK007,0.124,Beginner,1,0
P00108,SK009,0.273,Intermediate,2,1
P00108,SK033,0.602,Intermediate,2,1
P00109,SK011,0.88,Intermediate,2,1
P00109,SK027,0.12,Intermediate,2,1
P00110,SK020,0.119,Beginner,1,0
P00110,SK023,0.314,Advanced,4,1
P00110,SK024,0.567,Intermediate,2,1
P00111,SK013,0.24,Beginner,1,1
P00111,SK014,0.21,Beginner,1,0
P00111,SK015,0.328,Intermediate,3,1
P00111,SK022,0.222,Intermediate,3,1
P00112,SK011,0.281,Advanced,4,1
P00112,SK014,0.167,Advanced,5,1
P00112,SK015,0.431,Advanced,4,1
P00112,SK016,0.086,Beginner,1,0
P00112,SK018,0.035,Advanced,4,0
P00113,SK004,0.578,Intermediate,2,1
P00113,SK024,0.309,Intermediate,3,1
P00113,SK027,0.113,Intermediate,2,0
P00114,SK002,0.592,Advanced,4,1
P00114,SK004,0.278,Intermediate,2,1
P00114,SK029,0.13,Beginner,1,0
P00115,SK002,0.437,Intermediate,3,1
P00115,SK004,0.155,Advanced,4,1
P00115,SK024,0.266,Advanced,4,1
P00115,SK029,0.143,Beginner,1,0
P00116,SK002,0.006,Intermediate,2,0
P00116,SK008,0.066,Intermediate,2,0
P00116,SK009,0.285,Advanced,4,1
P00116,SK010,0.16,Intermediate,2,1
P00116,SK011,0.482,Beginner,1,1
P00117,SK011,0.123,Beginner,1,0
P00117,SK013,0.673,Advanced,5,1
P00117,SK014,0.204,Beginner,1,1
P00118,SK001,0.193,Intermediate,2,1
P00118,SK013,0.133,Intermediate,2,0
P00118,SK018,0.327,Intermediate,3,1
P00118,SK022,0.154,Intermediate,2,0
P00118,SK024,0.192,Intermediate,2,1
P00119,SK024,0.03,Intermediate,2,0
P00119,SK028,0.114,Beginner,1,1
P00119,SK029,0.856,Intermediate,3,1
P00120,SK001,0.285,Intermediate,3,1
P00120,SK024,0.429,Intermediate,3,1
P00120,SK028,0.262,Advanced,4,1
P00120,SK029,0.024,Beginner,1,0
P00121,SK023,0.373,Intermediate,2,1
P00121,SK024,0.627,Beginner,1,1
P00122,SK001,0.659,Intermediate,3,1
P00122,SK013,0.028,Intermediate,2,0
P00122,SK017,0.313,Beginner,1,1
P00123,SK001,0.133,Beginner,2,1
P00123,SK024,0.077,Intermediate,2,0
P00123,SK029,0.79,Advanced,4,1
P00124,SK011,0.705,Intermediate,3,1
P00124,SK024,0.295,Advanced,4,1
P00125,SK019,0.36,Intermediate,2,1
P00125,SK020,0.64,Advanced,5,1
P00126,SK021,0.169,Advanced,5,1
P00126,SK024,0.473,Beginner,1,1
P00126,SK025,0.058,Intermediate,2,0
P00126,SK026,0.3,Intermediate,3,1
P00127,SK019,0.267,Advanced,4,1
P00127,SK022,0.184,Intermediate,2,1
P00127,SK025,0.036,Beginner,1,0
P00127,SK026,0.514,Advanced,4,1
P00128,SK019,0.21,Intermediate,2,1
P00128,SK020,0.643,Intermediate,2,1
P00128,SK026,0.147,Beginner,1,0
P00129,SK008,0.086,Beginner,1,0
P00129,SK011,0.277,Advanced,4,1
P00129,SK013,0.535,Advanced,5,1
P00129,SK036,0.102,Advanced,4,1
P00130,SK022,0.3,Intermediate,2,1
P00130,SK023,0.237,Intermediate,3,1
P00130,SK024,0.351,Intermediate,3,1
P00130,SK025,0.046,Intermediate,2,0
P00130,SK026,0.065,Intermediate,2,0
P00131,SK017,0.367,Beginner,2,1
P00131,SK024,0.225,Intermediate,2,0
P00131,SK027,0.408,Intermediate,2,1
P00132,SK023,0.121,Beginner,1,0
P00132,SK024,0.466,Intermediate,2,1
P00132,SK026,0.413,Intermediate,2,1
P00133,SK001,0.506,Intermediate,2,1
P00133,SK013,0.04,Advanced,4,0
P00133,SK014,0.216,Intermediate,3,1
P00133,SK018,0.027,Beginner,1,0
P00133,SK024,0.211,Advanced,5,1
P00134,SK002,0.354,Advanced,4,1
P00134,SK013,0.321,Beginner,1,0
P00134,SK024,0.325,Intermediate,3,1
P00135,SK022,0.19,Intermediate,3,1
P00135,SK023,0.575,Intermediate,2,1
P00135,SK025,0.062,Intermediate,2,0
P00135,SK026,0.173,Intermediate,3,1
P00136,SK005,0.088,Intermediate,2,1
P00136,SK007,0.367,Intermediate,2,1
P00136,SK008,0.451,Advanced,4,1
P00136,SK013,0.068,Intermediate,2,0
P00136,SK024,0.026,Advanced,4,0
P00137,SK001,0.055,Beginner,1,0
P00137,SK014,0.337,Advanced,4,1
P00137,SK015,0.373,Beginner,1,1
P00137,SK016,0.097,Beginner,1,0
P00137,SK024,0.138,Advanced,4,1
P00138,SK011,0.493,Advanced,5,1
P00138,SK017,0.137,Intermediate,2,1
P00138,SK024,0.3,Intermediate,2,1
P00138,SK027,0.07,Intermediate,2,0
P00139,SK001,0.079,Intermediate,2,0
P00139,SK011,0.089,Advanced,5,1
P00139,SK014,0.433,Beginner,1,1
P00139,SK023,0.398,Advanced,4,1
P00140,SK023,0.775,Beginner,1,1
P00140,SK024,0.101,Intermediate,2,0
P00140,SK025,0.124,Intermediate,3,1
P00141,SK011,0.44,Advanced,4,1
P00141,SK022,0.085,Intermediate,2,1
P00141,SK023,0.043,Intermediate,2,0
P00141,SK024,0.369,Beginner,1,1
P00141,SK026,0.064,Beginner,1,0
P00142,SK019,0.519,Advanced,5,1
P00142,SK023,0.148,Beginner,1,1
P00142,SK024,0.039,Intermediate,2,0
P00142,SK025,0.281,Advanced,4,1
P00142,SK026,0.014,Intermediate,2,0
P00143,SK001,0.041,Intermediate,2,0
P00143,SK011,0.139,Advanced,5,1
P00143,SK014,0.065,Beginner,2,1
P00143,SK024,0.755,Intermediate,3,1
P00144,SK020,0.06,Intermediate,2,0
P00144,SK024,0.563,Advanced,5,1
P00144,SK036,0.377,Advanced,5,1
P00145,SK011,0.529,Intermediate,2,1
P00145,SK017,0.471,Intermediate,2,1
P00146,SK013,0.14,Advanced,4,1
P00146,SK014,0.144,Beginner,1,1
P00146,SK015,0.124,Intermediate,2,0
P00146,SK016,0.398,Intermediate,3,1
P00146,SK018,0.124,Intermediate,2,1
P00146,SK022,0.07,Intermediate,2,0
P00147,SK004,0.955,Advanced,4,1
P00147,SK027,0.045,Advanced,5,1
P00148,SK024,0.338,Advanced,5,1
P00148,SK025,0.09,Intermediate,2,0
P00148,SK026,0.571,Intermediate,2,1
P00149,SK001,0.092,Beginner,1,0
P00149,SK002,0.342,Intermediate,2,1
P00149,SK008,0.306,Advanced,5,1
P00149,SK009,0.172,Intermediate,2,1
P00149,SK024,0.088,Beginner,1,0
P00150,SK019,0.255,Beginner,1,1
P00150,SK022,0.094,Beginner,1,0
P00150,SK024,0.392,Intermediate,2,1
P00150,SK026,0.258,Intermediate,2,1
P00151,SK011,0.365,Advanced,5,1
P00151,SK017,0.075,Beginner,1,0
P00151,SK024,0.344,Intermediate,2,1
P00151,SK027,0.217,Intermediate,2,1
P00152,SK022,0.193,Intermediate,2,1
P00152,SK023,0.77,Advanced,4,1
P00152,SK026,0.037,Beginner,1,0
P00153,SK004,0.111,Intermediate,2,0
P00153,SK005,0.623,Intermediate,2,1
P00153,SK024,0.266,Intermediate,2,1
P00154,SK011,0.798,Beginner,1,1
P00154,SK017,0.177,Beginner,2,1
P00154,SK025,0.025,Beginner,1,0
P00155,SK023,0.27,Beginner,1,1
P00155,SK024,0.153,Intermediate,2,0
P00155,SK025,0.577,Intermediate,3,1
P00156,SK011,0.298,Intermediate,2,1
P00156,SK022,0.219,Intermediate,2,1
P00156,SK023,0.269,Intermediate,2,1
P00156,SK025,0.076,Intermediate,2,0
P00156,SK026,0.138,Beginner,1,0
P00157,SK002,0.22,Beginner,1,1
P00157,SK007,0.031,Intermediate,2,0
P00157,SK033,0.282,Intermediate,2,1
P00157,SK037,0.467,Intermediate,2,1
P00158,SK001,0.396,Intermediate,3,1
P00158,SK024,0.604,Advanced,5,1
P00159,SK011,0.601,Intermediate,2,1
P00159,SK017,0.208,Advanced,4,1
P00159,SK024,0.004,Beginner,1,0
P00159,SK025,0.188,Intermediate,2,1
P00160,SK011,0.22,Beginner,1,1
P00160,SK024,0.575,Intermediate,2,1
P00160,SK027,0.205,Intermediate,2,0
P00161,SK004,0.116,Beginner,1,1
P00161,SK005,0.3,Intermediate,3,1
P00161,SK024,0.523,Intermediate,3,1
P00161,SK027,0.061,Beginner,1,0
P00162,SK013,0.297,Advanced,4,0
P00162,SK018,0.378,Intermediate,3,1
P00162,SK024,0.326,Beginner,1,1
P00163,SK004,0.452,Advanced,4,1
P00163,SK008,0.446,Intermediate,2,1
P00163,SK013,0.003,Beginner,1,0
P00163,SK033,0.1,Intermediate,2,1
P00164,SK011,0.158,Intermediate,3,1
P00164,SK013,0.085,Intermediate,2,0
P00164,SK014,0.2,Intermediate,2,1
P00164,SK018,0.04,Advanced,4,0
P00164,SK023,0.518,Intermediate,3,1
P00165,SK023,0.527,Intermediate,2,1
P00165,SK024,0.02,Beginner,1,0
P00165,SK025,0.074,Intermediate,3,1
P00165,SK026,0.379,Intermediate,2,1
P00166,SK004,0.785,Intermediate,2,1
P00166,SK027,0.215,Intermediate,2,1
P00167,SK011,0.107,Intermediate,2,0
P00167,SK014,0.247,Beginner,1,1
P00167,SK016,0.246,Advanced,5,1
P00167,SK017,0.163,Intermediate,2,0
P00167,SK022,0.237,Advanced,5,1
P00168,SK019,0.006,Beginner,1,0
P00168,SK024,0.858,Advanced,4,1
P00168,SK025,0.136,Intermediate,3,1
P00169,SK011,0.025,Advanced,4,0
P00169,SK024,0.099,Intermediate,3,1
P00169,SK027,0.875,Intermediate,3,1
P00170,SK001,0.627,Advanced,4,1
P00170,SK011,0.373,Intermediate,2,1
P00171,SK004,0.399,Intermediate,2,1
P00171,SK005,0.422,Intermediate,2,1
P00171,SK027,0.179,Intermediate,2,0
P00172,SK011,0.702,Intermediate,2,1
P00172,SK024,0.298,Intermediate,2,1
P00173,SK024,0.891,Intermediate,2,1
P00173,SK027,0.109,Advanced,5,1
P00174,SK004,0.589,Beginner,1,1
P00174,SK013,0.172,Beginner,1,0
P00174,SK037,0.239,Advanced,5,1
P00175,SK013,0.012,Beginner,1,0
P00175,SK017,0.292,Intermediate,2,1
P00175,SK023,0.281,Intermediate,3,1
P00175,SK024,0.415,Intermediate,2,1
P00176,SK011,0.101,Intermediate,2,1
P00176,SK022,0.744,Intermediate,2,1
P00176,SK025,0.055,Intermediate,2,0
P00176,SK026,0.1,Advanced,4,1
P00177,SK001,0.135,Advanced,4,1
P00177,SK024,0.749,Beginner,2,1
P00177,SK029,0.116,Intermediate,2,0
P00178,SK020,0.06,Intermediate,2,0
P00178,SK023,0.099,Intermediate,2,1
P00178,SK024,0.209,Advanced,4,1
P00178,SK025,0.632,Advanced,4,1
P00179,SK011,0.208,Beginner,1,1
P00179,SK013,0.172,Intermediate,2,1
P00179,SK017,0.367,Beginner,1,1
P00179,SK023,0.141,Intermediate,2,0
P00179,SK024,0.111,Beginner,1,0
P00180,SK020,0.203,Intermediate,2,1
P00180,SK021,0.019,Intermediate,2,0
P00180,SK022,0.305,Beginner,2,1
P00180,SK024,0.145,Intermediate,3,1
P00180,SK026,0.296,Beginner,2,1
P00180,SK036,0.031,Beginner,1,0
P00181,SK019,0.086,Beginner,1,1
P00181,SK022,0.078,Intermediate,2,0
P00181,SK025,0.453,Intermediate,2,1
P00181,SK026,0.383,Intermediate,3,1
P00182,SK024,0.175,Intermediate,2,1
P00182,SK027,0.825,Intermediate,2,1
P00183,SK004,0.324,Intermediate,3,1
P00183,SK024,0.469,Advanced,5,1
P00183,SK027,0.207,Beginner,1,0
P00184,SK014,0.489,Intermediate,2,1
P00184,SK018,0.353,Advanced,4,1
P00184,SK023,0.157,Beginner,1,0
P00185,SK011,0.082,Beginner,1,0
P00185,SK024,0.816,Advanced,5,1
P00185,SK027,0.103,Beginner,1,1
