employee_id,project_id,role_in_project,start_date,end_date,task_count,performance_score,project_success_score,manager_feedback_score
E00003,P00301,Contributor,2023-05-17,2023-05-23,1,7.1,8.4,7.8
E00003,P00345,Contributor,2023-11-23,2023-12-06,1,5.6,5.8,7.1
E00003,P00359,Contributor,2026-01-08,2026-01-19,1,7.0,7.0,7.8
E00003,P00383,Contributor,2024-02-07,2024-02-09,1,6.8,8.2,7.7
E00003,P00452,Contributor,2024-01-08,2024-01-20,1,5.5,5.0,7.0
E00003,P00523,Contributor,2025-12-28,2025-12-31,1,5.5,5.0,7.0
E00003,P00632,Contributor,2026-03-16,2026-03-03,1,6.0,7.4,7.3
E00003,P00680,Contributor,2025-01-13,2025-01-20,1,5.5,5.0,7.0
E00003,P00696,Contributor,2025-10-01,2025-10-06,1,7.1,8.1,7.8
E00003,P00723,Contributor,2023-02-19,2023-03-16,2,6.4,6.2,7.5
E00003,P00736,Contributor,2025-09-25,2025-09-29,1,5.7,5.2,7.2
E00003,P00749,Contributor,2026-03-22,2026-03-25,1,7.2,6.2,7.9
E00003,P00759,Contributor,2026-03-25,2026-04-03,1,6.1,7.2,7.4
E00003,P00770,Contributor,2024-11-26,2024-12-09,1,6.9,8.2,7.8
E00003,P00823,Contributor,2025-03-15,2025-03-24,1,8.0,9.3,8.3
E00003,P00839,Contributor,2026-01-20,2026-01-28,1,7.0,7.8,7.8
E00004,P00076,Project Team Member,2025-11-14,2025-11-27,1,6.3,6.4,7.8
E00004,P00105,Project Team Member,2024-01-09,2024-03-19,2,7.6,8.2,8.5
E00004,P00113,Project Team Member,2024-11-02,2024-11-12,1,7.2,8.4,8.3
E00004,P00115,Project Team Member,2024-12-28,2025-01-05,1,8.0,9.3,8.7
E00004,P00171,Project Team Member,2024-06-26,2024-07-07,1,6.3,6.2,7.8
E00004,P00227,Project Team Member,2026-03-07,2026-03-22,1,5.6,5.2,7.5
E00004,P00521,Project Team Member,2023-09-02,2023-09-06,1,8.0,9.3,8.7
E00004,P00723,Project Team Member,2023-07-29,2023-08-13,1,6.5,7.5,8.0
E00004,P00746,Project Team Member,2025-12-23,2026-01-20,1,5.5,5.0,7.4
E00004,P00750,Project Team Member,2026-01-06,2026-01-20,1,6.2,7.1,7.8
E00004,P00763,Project Team Member,2026-03-20,2026-04-01,1,6.8,7.2,8.1
E00004,P00860,Project Team Member,2026-02-09,2026-02-18,1,7.7,8.3,8.6
E00005,P00006,Project Team Member,2024-10-02,2024-10-06,1,5.5,5.7,6.6
E00005,P00007,Project Team Member,2024-12-06,2024-12-19,1,5.5,5.0,6.6
E00005,P00011,Project Team Member,2024-07-02,2024-07-13,1,7.2,6.2,7.5
E00005,P00016,Project Team Member,2024-10-31,2024-11-12,1,6.6,6.8,7.2
E00005,P00020,Project Team Member,2024-08-31,2024-09-11,1,5.5,5.0,6.6
E00005,P00078,Project Team Member,2024-05-02,2024-05-31,1,7.0,8.4,7.4
E00005,P00081,Project Team Member,2025-02-04,2025-02-14,1,8.5,9.1,8.2
E00005,P00128,Project Team Member,2023-08-25,2023-09-04,1,5.5,5.0,6.6
E00005,P00143,Project Team Member,2025-01-11,2025-01-16,1,5.5,5.3,6.6
E00005,P00151,Project Team Member,2025-12-30,2026-01-05,1,7.8,9.2,7.8
E00005,P00164,Project Team Member,2024-03-21,2024-04-05,1,5.5,5.1,6.6
E00005,P00189,Project Team Member,2025-02-08,2025-02-18,1,5.5,5.0,6.6
E00005,P00220,Project Team Member,2023-09-30,2023-10-25,1,6.3,6.4,7.0
E00005,P00238,Project Team Member,2024-03-05,2024-04-03,1,7.0,7.1,7.4
E00005,P00245,Project Team Member,2025-08-01,2025-08-18,2,7.2,7.8,7.5
E00005,P00269,Project Team Member,2023-12-30,2024-01-24,1,7.2,7.9,7.5
E00005,P00294,Project Team Member,2024-07-26,2024-08-01,1,5.7,6.3,6.8
E00005,P00299,Project Team Member,2025-02-11,2025-02-15,1,9.5,9.7,8.6
E00005,P00316,Project Team Member,2023-06-20,2023-07-08,1,7.5,8.4,7.6
E00005,P00318,Project Team Member,2024-03-07,2024-03-14,1,6.7,7.3,7.2
E00005,P00323,Project Team Member,2025-10-05,2025-10-07,1,5.5,5.0,6.6
E00005,P00328,Project Team Member,2025-02-03,2025-02-11,1,6.6,8.0,7.2
E00005,P00338,Project Team Member,2023-11-22,2023-11-29,1,7.3,8.6,7.6
E00005,P00374,Project Team Member,2025-08-27,2025-09-10,1,7.3,7.3,7.6
E00005,P00394,Project Team Member,2024-05-13,2024-05-20,1,7.2,8.5,7.5
E00005,P00396,Project Team Member,2025-10-23,2025-10-26,1,8.0,9.3,7.9
E00005,P00399,Project Team Member,2023-11-10,2023-11-13,1,7.6,8.9,7.7
E00005,P00433,Project Team Member,2025-02-12,2025-02-15,1,5.5,5.5,6.6
E00005,P00434,Project Team Member,2025-04-10,2025-04-14,1,7.0,8.2,7.4
E00005,P00516,Project Team Member,2024-10-06,2024-10-21,1,7.4,8.3,7.6
E00005,P00627,Project Team Member,2024-07-29,2024-08-13,1,5.5,5.0,6.6
E00005,P00643,Project Team Member,2025-07-15,2025-08-06,1,9.7,9.7,8.8
E00005,P00657,Project Team Member,2026-02-05,2026-02-18,1,6.7,8.1,7.2
E00005,P00825,Project Team Member,2026-04-12,2026-04-20,1,8.0,9.4,7.9
E00005,P00826,Project Team Member,2025-05-20,2025-05-24,1,7.0,8.3,7.4
E00005,P00867,Project Team Member,2024-01-09,2024-02-04,1,5.5,5.0,6.6
E00005,P00873,Project Team Member,2024-11-20,2024-12-04,1,5.5,5.0,6.6
E00005,P00888,Project Team Member,2026-03-18,2026-03-28,1,5.5,5.0,6.6
E00006,P00010,Project Team Member,2023-10-12,2023-11-14,2,6.8,6.3,7.3
E00006,P00015,Project Team Member,2026-02-14,2026-02-23,1,6.6,7.9,7.2
E00006,P00058,Project Team Member,2025-05-12,2025-05-25,1,6.6,7.5,7.2
E00006,P00060,Project Team Member,2025-03-11,2025-03-22,1,7.0,7.7,7.4
E00006,P00065,Project Team Member,2024-10-29,2024-10-31,1,9.1,9.7,8.4
E00006,P00074,Project Team Member,2026-02-08,2026-02-20,1,6.8,8.1,7.3
E00006,P00091,Project Team Member,2026-01-01,2026-01-03,1,7.2,8.6,7.5
E00006,P00103,Project Team Member,2024-06-02,2024-06-13,1,7.2,6.2,7.5
E00006,P00110,Project Team Member,2024-01-13,2024-01-24,1,7.2,8.2,7.5
E00006,P00130,Project Team Member,2025-12-27,2026-01-05,1,8.4,9.7,8.1
E00006,P00148,Project Team Member,2024-04-19,2024-04-25,1,8.0,9.3,7.9
E00006,P00182,Project Team Member,2023-12-12,2023-12-27,1,5.5,5.1,6.6
E00006,P00190,Project Team Member,2023-06-25,2023-07-09,1,5.5,5.0,6.6
E00006,P00200,Project Team Member,2025-03-24,2025-03-28,1,6.6,7.9,7.2
E00006,P00202,Project Team Member,2024-05-16,2024-10-10,2,7.3,7.7,7.6
E00006,P00227,Project Team Member,2026-03-13,2026-04-07,1,7.0,8.3,7.4
E00006,P00239,Project Team Member,2024-05-19,2024-06-02,1,7.4,8.3,7.6
E00006,P00246,Project Team Member,2025-09-10,2025-09-22,1,5.5,5.0,6.6
E00006,P00254,Project Team Member,2024-02-06,2024-02-13,1,5.5,5.0,6.6
E00006,P00261,Project Team Member,2024-10-08,2024-10-12,1,6.9,6.5,7.4
E00006,P00266,Project Team Member,2023-06-15,2023-06-20,1,5.5,5.0,6.6
E00006,P00272,Project Team Member,2025-10-28,2025-11-16,1,7.5,8.6,7.6
E00006,P00274,Project Team Member,2024-08-24,2024-12-30,2,6.7,7.4,7.2
E00006,P00285,Project Team Member,2023-03-09,2023-03-13,1,7.2,6.2,7.5
E00006,P00310,Project Team Member,2023-06-19,2023-06-22,1,7.0,8.1,7.4
E00006,P00314,Project Team Member,2025-08-11,2025-08-19,1,5.5,5.0,6.6
E00006,P00327,Project Team Member,2025-11-11,2025-11-22,1,8.0,9.4,7.9
E00006,P00338,Project Team Member,2023-10-12,2023-10-16,1,8.7,8.9,8.2
E00006,P00351,Project Team Member,2025-05-17,2025-05-22,1,7.6,8.7,7.7
E00006,P00376,Project Team Member,2025-10-19,2025-11-01,1,8.0,9.3,7.9
E00006,P00430,Project Team Member,2025-11-16,2025-11-20,1,6.7,7.0,7.2
E00006,P00433,Project Team Member,2024-12-09,2024-12-17,1,6.5,6.2,7.2
E00006,P00447,Project Team Member,2023-07-04,2023-07-27,1,7.0,6.4,7.4
E00006,P00451,Project Team Member,2025-12-29,2025-12-31,1,6.6,6.4,7.2
E00006,P00479,Project Team Member,2025-07-05,2025-07-10,1,5.5,5.0,6.6
E00006,P00499,Project Team Member,2025-03-24,2025-04-01,1,7.0,8.2,7.4
E00006,P00526,Project Team Member,2025-09-06,2025-09-18,1,7.1,8.4,7.4
E00006,P00542,Project Team Member,2023-09-24,2023-10-11,1,8.0,9.3,7.9
E00006,P00566,Project Team Member,2024-11-08,2024-11-12,1,7.0,8.3,7.4
E00006,P00583,Project Team Member,2026-03-22,2026-03-26,1,5.5,5.0,6.6
E00006,P00587,Project Team Member,2024-01-11,2024-01-15,1,7.4,8.5,7.6
E00006,P00588,Project Team Member,2026-03-24,2026-04-03,1,6.4,7.0,7.1
E00006,P00590,Project Team Member,2026-02-08,2026-02-14,1,7.5,8.5,7.6
E00006,P00594,Project Team Member,2024-08-06,2024-08-08,1,7.1,7.8,7.4
E00006,P00596,Project Team Member,2024-09-29,2024-10-10,1,6.2,5.5,7.0
E00006,P00602,Project Team Member,2024-04-28,2024-05-09,1,7.3,8.6,7.6
E00006,P00627,Project Team Member,2023-10-29,2023-11-02,1,8.2,9.2,8.0
E00006,P00651,Project Team Member,2026-01-21,2026-02-16,2,7.7,7.8,7.8
E00006,P00666,Project Team Member,2023-12-14,2023-12-22,1,7.5,6.9,7.6
E00006,P00682,Project Team Member,2024-03-14,2024-03-23,1,7.8,9.0,7.8
E00006,P00699,Project Team Member,2025-01-05,2025-01-15,1,7.5,8.8,7.6
E00006,P00719,Project Team Member,2025-09-26,2025-10-13,1,5.5,5.0,6.6
E00006,P00737,Project Team Member,2024-08-22,2024-08-26,1,5.5,5.0,6.6
E00006,P00781,Project Team Member,2024-12-08,2024-12-10,1,6.0,5.8,6.9
E00006,P00784,Project Team Member,2025-09-15,2025-10-05,1,6.6,8.0,7.2
E00006,P00786,Project Team Member,2026-02-24,2026-03-08,1,8.5,9.1,8.2
E00006,P00790,Project Team Member,2025-07-10,2025-07-17,1,8.7,8.9,8.2
E00006,P00801,Project Team Member,2024-09-03,2024-09-11,1,5.5,5.0,6.6
E00006,P00821,Project Team Member,2023-12-13,2023-12-27,1,6.9,7.9,7.4
E00006,P00827,Project Team Member,2025-01-19,2025-02-03,1,7.6,8.6,7.7
E00006,P00833,Project Team Member,2025-08-04,2025-08-18,1,7.8,9.1,7.8
E00006,P00835,Project Team Member,2024-08-30,2024-09-06,1,6.4,7.7,7.1
E00006,P00836,Project Team Member,2025-10-08,2025-10-11,1,7.4,8.4,7.6
E00006,P00837,Project Team Member,2024-03-22,2024-03-27,1,6.5,5.5,7.2
E00006,P00838,Project Team Member,2024-08-27,2024-09-05,1,5.9,5.0,6.8
E00006,P00865,Project Team Member,2023-03-05,2023-03-09,1,5.5,5.0,6.6
E00006,P00874,Project Team Member,2024-01-27,2024-01-29,1,5.5,5.0,6.6
E00006,P00882,Project Team Member,2023-12-05,2023-12-15,1,7.2,6.2,7.5
E00006,P00894,Project Team Member,2025-10-05,2025-10-07,1,8.0,9.4,7.9
E00006,P00897,Project Team Member,2024-12-30,2025-01-10,1,5.5,5.0,6.6
E00007,P00009,Contributor,2024-02-11,2024-02-17,1,7.4,8.6,8.4
E00007,P00014,Contributor,2024-04-20,2025-02-20,2,7.2,7.1,8.3
E00007,P00052,Contributor,2023-08-23,2023-08-31,1,5.5,5.0,7.4
E00007,P00062,Contributor,2025-04-22,2025-05-03,1,5.9,5.2,7.6
E00007,P00068,Contributor,2026-03-20,2026-03-28,1,8.4,9.7,8.9
E00007,P00084,Contributor,2023-05-09,2023-05-14,1,5.5,6.1,7.4
E00007,P00116,Contributor,2025-03-23,2025-04-02,1,5.5,5.0,7.4
E00007,P00122,Contributor,2025-03-26,2025-04-04,1,7.9,7.9,8.6
E00007,P00162,Contributor,2026-01-22,2026-01-30,1,8.0,9.3,8.7
E00007,P00166,Contributor,2024-03-11,2024-03-15,1,5.9,5.7,7.6
E00007,P00227,Contributor,2026-03-14,2026-03-27,1,5.5,5.0,7.4
E00007,P00233,Contributor,2025-12-25,2025-12-30,1,7.4,8.6,8.4
E00007,P00272,Contributor,2025-05-19,2025-05-24,1,6.1,6.4,7.8
E00007,P00340,Contributor,2024-06-05,2024-06-11,1,6.8,8.1,8.1
E00007,P00350,Contributor,2026-02-05,2026-02-13,1,5.9,5.2,7.6
E00007,P00352,Contributor,2023-08-13,2023-08-24,1,5.5,5.3,7.4
E00007,P00366,Contributor,2024-01-24,2024-02-05,1,6.3,6.5,7.8
E00007,P00431,Contributor,2025-12-29,2025-12-31,1,6.8,7.7,8.1
E00007,P00459,Contributor,2025-03-20,2025-03-23,1,7.9,8.9,8.6
E00007,P00464,Contributor,2026-04-10,2026-02-27,1,7.5,8.7,8.4
E00007,P00486,Contributor,2023-03-16,2023-03-27,1,6.6,6.0,8.0
E00007,P00499,Contributor,2025-11-01,2025-11-12,1,5.5,5.0,7.4
E00007,P00508,Contributor,2024-02-21,2024-02-28,1,5.8,6.2,7.6
E00007,P00523,Contributor,2025-10-21,2025-11-02,1,6.4,6.9,7.9
E00007,P00558,Contributor,2023-08-24,2023-09-02,1,7.2,8.2,8.3
E00007,P00628,Contributor,2023-10-05,2023-10-16,1,7.0,7.0,8.2
E00007,P00694,Contributor,2024-04-09,2024-04-23,1,6.7,6.6,8.0
E00007,P00696,Contributor,2025-09-05,2025-09-20,1,7.2,6.2,8.3
E00007,P00736,Contributor,2025-06-24,2025-06-27,1,7.1,8.4,8.2
E00007,P00840,Contributor,2023-07-04,2023-07-06,1,7.6,8.9,8.5
E00007,P00846,Contributor,2023-06-20,2023-07-18,1,5.5,5.0,7.4
E00007,P00870,Contributor,2023-07-16,2023-07-20,1,8.0,9.3,8.7
E00007,P00890,Contributor,2024-03-25,2024-04-04,1,7.0,7.8,8.2
E00008,P00002,Project Team Member,2025-08-24,2025-09-03,1,5.5,5.0,7.0
E00008,P00005,Project Team Member,2023-11-22,2023-11-27,1,7.5,8.3,8.0
E00008,P00007,Project Team Member,2025-02-15,2025-02-26,1,7.2,8.2,7.9
E00008,P00010,Project Team Member,2023-10-04,2023-10-11,1,7.6,8.8,8.1
E00008,P00023,Project Team Member,2024-07-24,2024-08-22,1,7.5,8.5,8.0
E00008,P00038,Project Team Member,2024-11-12,2024-11-27,1,5.5,5.0,7.0
E00008,P00050,Project Team Member,2025-11-22,2025-12-03,1,7.0,8.3,7.8
E00008,P00064,Project Team Member,2025-09-01,2025-09-11,1,6.7,6.9,7.6
E00008,P00067,Project Team Member,2025-09-09,2025-09-18,1,9.0,9.7,8.8
E00008,P00071,Project Team Member,2023-11-08,2023-11-17,1,5.5,5.0,7.0
E00008,P00074,Project Team Member,2026-02-02,2026-02-06,1,7.4,8.3,8.0
E00008,P00098,Project Team Member,2024-10-27,2024-11-09,1,6.0,6.3,7.3
E00008,P00100,Project Team Member,2024-06-03,2024-06-23,1,5.5,5.6,7.0
E00008,P00190,Project Team Member,2023-07-24,2023-08-02,1,5.6,5.5,7.1
E00008,P00203,Project Team Member,2024-11-20,2024-11-30,1,5.9,6.3,7.2
E00008,P00215,Project Team Member,2025-09-11,2025-09-25,1,8.0,9.4,8.3
E00008,P00220,Project Team Member,2023-09-14,2023-09-28,1,5.5,5.0,7.0
E00008,P00258,Project Team Member,2024-02-21,2024-02-26,1,6.9,7.6,7.8
E00008,P00287,Project Team Member,2025-06-30,2025-07-10,1,6.8,8.2,7.7
E00008,P00304,Project Team Member,2025-08-23,2025-08-27,1,8.3,8.8,8.4
E00008,P00319,Project Team Member,2024-07-21,2024-07-26,1,7.4,8.2,8.0
E00008,P00324,Project Team Member,2024-09-17,2024-09-27,1,7.0,8.1,7.8
E00008,P00325,Project Team Member,2026-04-15,2026-04-25,1,6.5,5.5,7.6
E00008,P00376,Project Team Member,2025-12-02,2025-12-13,1,5.5,5.4,7.0
E00008,P00378,Project Team Member,2025-01-13,2025-01-24,1,6.7,6.4,7.6
E00008,P00392,Project Team Member,2023-10-03,2023-10-14,1,6.4,6.5,7.5
E00008,P00498,Project Team Member,2026-02-02,2026-02-04,1,8.0,9.3,8.3
E00008,P00516,Project Team Member,2025-05-12,2025-05-27,1,6.4,6.4,7.5
E00008,P00535,Project Team Member,2026-04-19,2026-04-26,1,7.8,9.2,8.2
E00008,P00557,Project Team Member,2026-03-18,2026-03-18,1,6.3,6.4,7.4
E00008,P00567,Project Team Member,2024-08-14,2024-08-19,1,6.2,7.2,7.4
E00008,P00579,Project Team Member,2024-06-08,2024-06-14,1,7.9,9.2,8.2
E00008,P00623,Project Team Member,2024-03-01,2024-03-24,1,6.0,5.8,7.3
E00008,P00629,Project Team Member,2026-02-04,2026-02-14,1,5.5,5.0,7.0
E00008,P00634,Project Team Member,2025-04-11,2025-04-18,1,8.1,8.7,8.4
E00008,P00639,Project Team Member,2024-05-04,2024-05-12,1,7.8,9.0,8.2
E00008,P00660,Project Team Member,2024-01-07,2024-01-22,1,6.8,7.2,7.7
E00008,P00671,Project Team Member,2023-11-10,2023-11-21,1,6.1,6.0,7.4
E00008,P00683,Project Team Member,2025-05-23,2025-05-27,1,5.5,5.0,7.0
E00008,P00717,Project Team Member,2025-06-20,2025-07-09,1,7.0,7.5,7.8
E00008,P00746,Project Team Member,2025-12-27,2026-01-06,1,5.5,5.0,7.0
E00008,P00811,Project Team Member,2024-08-04,2024-08-15,1,7.4,8.7,8.0
E00008,P00856,Project Team Member,2025-03-01,2025-03-07,1,5.8,5.0,7.2
E00008,P00871,Project Team Member,2024-10-27,2024-10-31,1,5.5,5.0,7.0
E00008,P00877,Project Team Member,2024-04-20,2024-04-27,1,7.2,6.2,7.9
E00008,P00890,Project Team Member,2024-08-05,2024-08-12,1,7.7,8.9,8.2
E00008,P00900,Project Team Member,2026-01-19,2026-02-17,2,6.3,6.5,7.4
E00009,P00027,Coordinator,2025-11-04,2025-11-28,1,5.5,5.0,6.6
E00009,P00042,Coordinator,2024-08-25,2024-09-04,1,6.3,7.1,7.0
E00009,P00048,Coordinator,2025-10-29,2025-11-09,1,6.6,6.8,7.1
E00009,P00070,Coordinator,2023-05-30,2023-06-02,1,7.8,9.1,7.7
E00009,P00072,Coordinator,2025-11-25,2025-12-03,1,7.4,7.0,7.5
E00009,P00098,Coordinator,2024-11-06,2024-11-09,1,5.5,5.0,6.6
E00009,P00126,Coordinator,2025-08-12,2025-08-23,1,6.1,5.9,6.8
E00009,P00140,Coordinator,2025-04-22,2025-04-30,1,6.3,7.6,7.0
E00009,P00183,Coordinator,2023-10-31,2023-11-26,1,8.7,9.7,8.1
E00009,P00211,Coordinator,2025-07-26,2025-08-09,1,8.4,9.7,8.0
E00009,P00265,Coordinator,2025-08-12,2025-08-14,1,7.2,8.5,7.4
E00009,P00266,Coordinator,2023-05-29,2023-06-02,1,8.4,9.7,8.0
E00009,P00267,Coordinator,2024-12-27,2025-01-20,1,6.6,5.6,7.1
E00009,P00282,Coordinator,2023-11-11,2023-11-19,1,5.5,5.0,6.6
E00009,P00307,Coordinator,2025-02-15,2025-02-26,1,8.4,9.7,8.0
E00009,P00337,Coordinator,2023-08-10,2023-08-23,1,5.7,6.0,6.6
E00009,P00407,Coordinator,2024-11-29,2024-12-13,1,5.9,6.3,6.8
E00009,P00427,Coordinator,2024-12-17,2025-01-01,1,7.3,8.5,7.4
E00009,P00433,Coordinator,2025-03-01,2025-03-03,1,7.3,8.6,7.4
E00009,P00446,Coordinator,2025-03-22,2025-03-25,1,6.2,6.9,6.9
E00009,P00470,Coordinator,2023-11-30,2023-12-07,1,7.0,8.2,7.3
E00009,P00471,Coordinator,2023-05-07,2023-05-13,1,7.8,9.2,7.7
E00009,P00490,Coordinator,2025-07-28,2025-08-01,1,6.0,5.7,6.8
E00009,P00507,Coordinator,2025-05-04,2025-05-12,1,5.5,5.0,6.6
E00009,P00575,Coordinator,2024-11-06,2024-11-20,1,8.0,9.4,7.8
E00009,P00588,Coordinator,2026-03-24,2026-04-05,2,6.3,6.3,7.0
E00009,P00602,Coordinator,2024-03-25,2024-04-12,1,5.5,5.0,6.6
E00009,P00623,Coordinator,2024-01-04,2024-01-11,1,6.8,7.8,7.2
E00009,P00636,Coordinator,2024-01-25,2024-02-06,1,5.5,5.0,6.6
E00009,P00637,Coordinator,2024-02-02,2024-06-11,2,7.4,8.1,7.5
E00009,P00651,Coordinator,2025-11-15,2025-11-25,1,6.9,7.7,7.2
E00009,P00652,Coordinator,2024-08-08,2024-08-29,1,5.7,5.5,6.6
E00009,P00656,Coordinator,2025-04-13,2025-07-28,2,6.7,6.1,7.2
E00009,P00664,Coordinator,2024-06-23,2024-07-06,1,6.8,7.7,7.2
E00009,P00697,Coordinator,2025-07-03,2025-07-15,1,5.5,5.0,6.6
E00009,P00704,Coordinator,2025-02-25,2025-03-11,1,9.4,9.7,8.5
E00009,P00710,Coordinator,2025-08-06,2025-08-18,1,5.5,5.0,6.6
E00009,P00712,Coordinator,2026-03-16,2026-03-29,1,5.5,5.0,6.6
E00009,P00716,Coordinator,2024-02-29,2024-03-05,1,5.6,5.2,6.6
E00009,P00721,Coordinator,2026-03-10,2026-03-11,1,7.7,9.0,7.6
E00009,P00723,Coordinator,2023-04-08,2023-04-19,1,5.5,5.0,6.6
E00009,P00749,Coordinator,2026-03-22,2026-04-03,1,6.2,6.2,6.9
E00009,P00757,Coordinator,2025-07-09,2025-07-12,1,7.4,7.8,7.5
E00009,P00772,Coordinator,2024-01-04,2024-01-07,1,8.0,9.3,7.8
E00009,P00801,Coordinator,2024-03-31,2024-04-06,1,5.5,5.0,6.6
E00009,P00804,Coordinator,2024-02-14,2024-02-27,1,6.5,7.9,7.0
E00009,P00817,Coordinator,2025-12-22,2026-01-04,1,5.5,5.0,6.6
E00009,P00826,Coordinator,2025-02-19,2025-02-28,1,7.0,7.7,7.3
E00009,P00837,Coordinator,2024-01-28,2024-02-16,1,5.5,5.0,6.6
E00009,P00857,Coordinator,2025-10-23,2025-10-28,1,6.0,5.8,6.8
E00009,P00858,Coordinator,2025-05-21,2025-06-05,1,5.5,5.3,6.6
E00009,P00880,Coordinator,2025-11-18,2025-11-27,1,7.6,8.6,7.6
E00010,P00051,Project Team Member,2024-09-29,2024-10-08,1,6.2,7.6,7.3
E00010,P00060,Project Team Member,2025-06-09,2025-06-11,1,8.0,9.2,8.2
E00010,P00132,Project Team Member,2023-08-09,2023-08-17,1,7.6,8.5,8.0
E00010,P00156,Project Team Member,2023-09-08,2023-10-28,2,8.1,8.7,8.2
E00010,P00197,Project Team Member,2026-03-18,2026-03-19,1,7.6,8.6,8.0
E00010,P00210,Project Team Member,2024-09-14,2024-09-25,1,5.9,5.0,7.2
E00010,P00234,Project Team Member,2024-09-09,2024-09-14,1,6.4,6.4,7.4
E00010,P00249,Project Team Member,2023-11-29,2023-12-04,1,5.6,5.0,7.0
E00010,P00286,Project Team Member,2025-06-08,2025-06-15,1,7.0,8.3,7.7
E00010,P00371,Project Team Member,2025-04-19,2025-05-19,1,7.0,8.3,7.7
E00010,P00378,Project Team Member,2024-05-05,2024-05-13,1,6.7,6.4,7.6
E00010,P00396,Project Team Member,2025-09-17,2025-09-24,1,8.6,9.6,8.5
E00010,P00485,Project Team Member,2024-01-16,2024-01-27,1,5.5,5.0,7.0
E00010,P00581,Project Team Member,2023-12-18,2023-12-22,1,6.7,6.9,7.6
E00010,P00606,Project Team Member,2024-03-02,2024-03-15,1,5.5,5.0,7.0
E00010,P00637,Project Team Member,2024-02-29,2024-03-03,1,5.5,5.7,7.0
E00010,P00663,Project Team Member,2025-03-01,2025-03-06,1,6.6,7.5,7.5
E00010,P00734,Project Team Member,2024-05-08,2024-05-10,1,5.5,5.0,7.0
E00011,P00072,Contributor,2025-11-01,2025-11-04,1,6.9,7.4,7.2
E00011,P00078,Contributor,2024-06-28,2024-07-14,1,7.4,8.3,7.5
E00011,P00080,Contributor,2026-02-06,2026-02-13,1,5.5,5.0,6.6
E00011,P00093,Contributor,2024-06-16,2024-06-24,1,7.6,8.7,7.6
E00011,P00111,Contributor,2023-09-15,2023-10-08,1,5.5,5.0,6.6
E00011,P00146,Contributor,2025-06-10,2025-06-20,1,6.9,7.8,7.2
E00011,P00196,Contributor,2025-10-26,2025-11-01,1,5.5,5.0,6.6
E00011,P00238,Contributor,2024-03-31,2024-04-04,1,5.9,5.2,6.8
