employee_id,available_from,available_to,allocation_percent,availability_status
E00144,2026-01-26,2026-02-13,100,Fully Allocated
E00145,2026-04-10,2026-04-29,70,Partially Available
E00146,2026-05-11,2026-07-04,50,Available
E00147,2026-05-04,2026-07-16,40,Available
E00148,2026-04-23,2026-06-26,40,Available
E00149,2026-05-18,2026-06-12,100,Fully Allocated
E00150,2026-03-03,2026-04-29,20,Available
E00151,2026-04-21,2026-07-19,20,Available
E00152,2026-04-08,2026-06-18,40,Available
E00153,2026-03-21,2026-06-06,10,Available
E00154,2024-12-27,2025-03-23,40,Available
E00155,2026-05-09,2026-06-11,90,Partially Available
E00156,2026-04-08,2026-06-19,50,Available
E00157,2026-04-27,2026-06-05,70,Partially Available
E00158,2026-05-02,2026-07-18,30,Available
E00159,2026-05-08,2026-06-19,80,Partially Available
E00160,2026-03-27,2026-05-05,60,Available
E00161,2026-03-30,2026-04-28,90,Partially Available
E00162,2026-03-02,2026-05-02,50,Available
E00163,2026-04-23,2026-05-25,20,Available
E00164,2026-05-03,2026-06-25,40,Available
E00165,2026-02-20,2026-03-31,10,Available
E00166,2026-04-21,2026-07-03,20,Available
E00167,2026-04-27,2026-06-10,90,Partially Available
E00168,2026-04-06,2026-04-21,100,Fully Allocated
E00169,2026-03-30,2026-04-24,100,Fully Allocated
E00170,2026-04-28,2026-06-29,20,Available
E00171,2026-04-30,2026-07-13,30,Available
E00172,2025-11-25,2025-12-08,100,Fully Allocated
E00173,2026-03-31,2026-06-22,50,Available
E00174,2026-02-23,2026-05-23,30,Available
E00175,2026-05-06,2026-07-26,20,Available
E00176,2026-03-24,2026-06-14,20,Available
E00177,2026-04-29,2026-05-12,100,Fully Allocated
E00178,2026-04-22,2026-06-15,20,Available
E00179,2026-04-20,2026-05-10,70,Partially Available
E00180,2026-03-11,2026-04-21,10,Available
E00181,2026-04-23,2026-05-26,10,Available
E00182,2026-04-25,2026-06-21,20,Available
E00183,2026-04-14,2026-05-18,90,Partially Available
E00184,2026-03-29,2026-05-07,10,Available
E00185,2026-03-12,2026-05-11,60,Available
E00186,2026-04-28,2026-05-31,70,Partially Available
E00187,2026-04-01,2026-05-02,10,Available
E00188,2026-03-25,2026-04-27,50,Available
E00189,2026-04-21,2026-06-04,10,Available
E00190,2026-04-16,2026-06-22,10,Available
E00191,2026-04-19,2026-06-20,20,Available
E00192,2026-03-20,2026-05-06,30,Available
E00193,2026-03-30,2026-04-21,70,Partially Available
E00194,2026-01-21,2026-03-23,30,Available
E00195,2026-04-28,2026-05-25,80,Partially Available
E00196,2026-04-06,2026-05-09,70,Partially Available
E00197,2026-05-08,2026-06-22,20,Available
E00198,2026-04-16,2026-06-17,20,Available
E00199,2026-04-18,2026-06-20,30,Available
E00200,2026-05-10,2026-06-12,70,Partially Available
E00201,2026-04-01,2026-05-14,20,Available
E00202,2026-04-02,2026-06-17,30,Available
E00203,2026-04-01,2026-05-02,60,Available
E00204,2026-05-09,2026-06-05,70,Partially Available
E00205,2026-03-23,2026-04-26,70,Partially Available
E00206,2026-03-07,2026-05-04,10,Available
E00207,2026-04-30,2026-06-03,90,Partially Available
E00208,2026-05-07,2026-06-01,70,Partially Available
E00209,2026-03-26,2026-06-05,50,Available
E00210,2026-02-25,2026-04-29,10,Available
E00211,2026-04-21,2026-05-14,100,Fully Allocated
E00212,2026-04-01,2026-05-03,20,Available
E00213,2026-03-27,2026-05-25,20,Available
E00214,2026-04-19,2026-05-07,70,Partially Available
E00215,2026-04-27,2026-06-07,80,Partially Available
E00216,2026-05-23,2026-06-20,100,Fully Allocated
E00217,2026-03-29,2026-05-02,40,Available
E00218,2026-03-01,2026-04-01,10,Available
E00219,2026-03-30,2026-05-02,40,Available
E00220,2026-03-28,2026-06-09,20,Available
E00221,2026-04-03,2026-06-09,50,Available
E00222,2026-03-21,2026-06-18,30,Available
E00223,2026-04-12,2026-07-02,20,Available
E00224,2026-02-25,2026-04-22,30,Available
E00225,2026-04-03,2026-05-29,20,Available
E00226,2026-05-01,2026-06-14,10,Available
E00227,2026-05-18,2026-05-31,100,Fully Allocated
E00228,2026-05-03,2026-07-09,50,Available
E00229,2026-04-11,2026-05-17,90,Partially Available
E00230,2026-04-25,2026-06-04,80,Partially Available
E00231,2026-05-14,2026-06-26,10,Available
E00232,2026-04-18,2026-05-20,90,Partially Available
E00233,2026-05-03,2026-05-16,100,Fully Allocated
E00234,2026-04-24,2026-06-02,70,Partially Available
E00235,2026-05-26,2026-08-01,50,Available
E00236,2026-04-27,2026-06-19,10,Available
E00237,2026-05-14,2026-07-20,40,Available
E00238,2026-03-16,2026-04-20,30,Available
E00239,2026-04-24,2026-06-12,30,Available
E00240,2026-05-11,2026-06-16,90,Partially Available
E00241,2026-03-05,2026-05-15,60,Available
E00242,2026-02-20,2026-03-10,90,Partially Available
E00243,2026-05-04,2026-06-12,60,Available
E00244,2026-04-04,2026-05-25,20,Available
E00245,2026-02-07,2026-02-22,80,Partially Available
E00246,2026-05-24,2026-06-22,100,Fully Allocated
E00247,2026-04-22,2026-07-06,60,Available
E00248,2026-04-07,2026-05-01,100,Fully Allocated
E00249,2026-03-31,2026-06-22,30,Available
E00250,2026-05-09,2026-07-18,60,Available
E00251,2026-04-30,2026-07-10,50,Available
E00252,2026-04-22,2026-07-11,10,Available
E00253,2026-05-06,2026-06-08,50,Available
E00254,2026-05-05,2026-06-24,20,Available
E00255,2026-04-26,2026-06-03,80,Partially Available
E00256,2026-04-21,2026-05-18,80,Partially Available
E00257,2026-03-23,2026-06-02,60,Available
E00258,2026-05-14,2026-06-10,70,Partially Available
E00259,2026-03-03,2026-05-25,10,Available
E00260,2026-04-23,2026-06-03,50,Available
E00261,2026-04-20,2026-06-12,30,Available
E00262,2026-05-06,2026-07-09,60,Available
E00263,2026-04-01,2026-05-19,40,Available
E00264,2026-03-31,2026-05-08,30,Available
E00265,2026-04-19,2026-05-08,100,Fully Allocated
E00266,2026-04-08,2026-05-14,90,Partially Available
E00267,2026-04-05,2026-06-13,50,Available
E00268,2026-05-11,2026-05-21,100,Fully Allocated
E00269,2026-04-07,2026-05-12,70,Partially Available
E00270,2026-04-27,2026-06-23,40,Available
E00271,2026-05-25,2026-06-09,100,Fully Allocated
E00272,2026-05-05,2026-05-26,80,Partially Available
E00273,2026-04-24,2026-06-07,90,Partially Available
E00274,2026-04-29,2026-06-28,10,Available
E00275,2026-05-03,2026-07-24,10,Available
E00276,2026-04-12,2026-05-19,90,Partially Available
E00277,2026-04-13,2026-04-30,100,Fully Allocated
E00278,2026-04-27,2026-07-22,40,Available
E00279,2026-05-01,2026-06-14,80,Partially Available
E00280,2026-05-18,2026-07-01,50,Available
E00281,2026-03-13,2026-04-24,50,Available
E00282,2026-04-10,2026-06-13,40,Available
E00283,2026-04-30,2026-07-03,20,Available
E00284,2026-03-23,2026-05-11,30,Available
E00285,2026-05-01,2026-05-26,80,Partially Available
E00286,2026-04-03,2026-06-29,10,Available
E00287,2026-05-11,2026-06-17,80,Partially Available
E00288,2026-04-24,2026-05-29,90,Partially Available
E00289,2026-04-22,2026-05-11,90,Partially Available
E00290,2026-02-23,2026-03-29,90,Partially Available
E00291,2026-05-19,2026-08-12,30,Available
E00292,2026-04-15,2026-06-02,20,Available
E00293,2026-03-25,2026-06-06,60,Available
E00294,2026-04-16,2026-06-02,10,Available
E00295,2026-03-29,2026-05-01,20,Available
E00296,2026-03-19,2026-04-25,20,Available
E00297,2026-05-24,2026-06-21,80,Partially Available
E00298,2026-05-06,2026-07-04,60,Available
E00299,2026-05-16,2026-06-15,90,Partially Available
E00300,2026-04-16,2026-06-04,40,Available
E00301,2026-03-02,2026-04-08,30,Available
E00302,2026-04-30,2026-06-03,50,Available
E00303,2026-02-25,2026-03-20,90,Partially Available
E00304,2026-02-17,2026-03-05,70,Partially Available
E00305,2026-05-08,2026-05-30,80,Partially Available
E00306,2026-05-14,2026-05-27,100,Fully Allocated
E00307,2026-04-13,2026-05-15,90,Partially Available
E00308,2026-03-12,2026-06-02,50,Available
E00309,2026-04-03,2026-05-24,10,Available
E00310,2026-04-15,2026-04-30,100,Fully Allocated
E00311,2026-04-23,2026-06-02,60,Available
E00312,2026-03-22,2026-05-02,20,Available
E00313,2026-04-08,2026-05-15,10,Available
E00314,2026-04-24,2026-05-31,90,Partially Available
E00315,2026-04-13,2026-05-24,90,Partially Available
E00316,2026-03-29,2026-05-14,40,Available
E00317,2026-04-16,2026-05-26,90,Partially Available
E00318,2026-05-05,2026-05-30,100,Fully Allocated
E00319,2026-03-27,2026-04-11,70,Partially Available
E00320,2026-04-21,2026-05-31,70,Partially Available
E00321,2026-05-01,2026-06-21,10,Available
E00322,2026-04-22,2026-05-09,80,Partially Available
E00323,2026-05-19,2026-06-08,100,Fully Allocated
E00324,2026-05-14,2026-06-30,50,Available
E00325,2026-05-07,2026-06-19,90,Partially Available
E00326,2026-05-08,2026-05-16,100,Fully Allocated
E00327,2026-03-11,2026-05-19,60,Available
E00328,2026-03-31,2026-05-16,20,Available
E00329,2026-06-02,2026-06-25,90,Partially Available
E00330,2026-05-06,2026-06-16,10,Available
E00331,2026-04-05,2026-06-12,10,Available
E00332,2026-05-08,2026-05-23,90,Partially Available
E00333,2026-04-29,2026-06-29,30,Available
E00334,2026-05-08,2026-06-27,30,Available
E00335,2026-02-16,2026-03-23,80,Partially Available
E00336,2026-05-07,2026-06-04,80,Partially Available
E00337,2026-03-18,2026-03-26,100,Fully Allocated
E00338,2026-04-24,2026-07-11,50,Available
E00339,2026-04-08,2026-04-29,70,Partially Available
E00340,2026-05-15,2026-06-28,40,Available
E00341,2026-05-15,2026-07-14,20,Available
E00342,2026-05-06,2026-07-02,60,Available
E00343,2026-04-05,2026-06-14,20,Available
E00344,2026-04-08,2026-05-15,60,Available
E00345,2026-03-26,2026-05-01,10,Available
E00346,2026-04-30,2026-05-18,80,Partially Available
E00347,2026-05-01,2026-05-25,80,Partially Available
E00348,2026-04-01,2026-06-08,20,Available
E00349,2026-01-30,2026-04-16,20,Available
E00350,2026-04-27,2026-06-25,60,Available
E00351,2026-04-29,2026-07-12,20,Available
E00352,2026-03-10,2026-05-18,30,Available
E00353,2026-04-19,2026-05-12,70,Partially Available
E00354,2026-03-09,2026-05-18,30,Available
E00355,2026-03-18,2026-04-21,20,Available
E00356,2026-05-07,2026-06-11,70,Partially Available
E00357,2026-05-08,2026-05-28,90,Partially Available
E00358,2026-02-26,2026-04-12,30,Available
E00359,2025-09-19,2025-10-19,90,Partially Available
E00360,2026-03-21,2026-04-10,100,Fully Allocated
E00361,2026-02-21,2026-04-10,30,Available
E00362,2026-03-04,2026-04-21,30,Available
E00363,2026-02-12,2026-03-06,100,Fully Allocated
E00364,2026-03-16,2026-06-12,10,Available
E00365,2026-05-14,2026-06-02,80,Partially Available
E00366,2026-03-27,2026-06-23,20,Available
E00367,2026-04-18,2026-05-03,80,Partially Available
E00368,2026-03-25,2026-04-13,90,Partially Available
E00369,2026-03-03,2026-03-26,70,Partially Available
E00370,2025-12-30,2026-02-18,30,Available
E00371,2026-04-17,2026-05-08,70,Partially Available
E00372,2026-02-24,2026-05-06,40,Available
E00373,2026-03-14,2026-05-07,10,Available
E00374,2026-04-24,2026-07-18,40,Available
E00375,2026-04-21,2026-05-20,70,Partially Available
E00376,2024-03-15,2024-04-19,80,Partially Available
E00377,2025-11-11,2026-01-23,30,Available
E00378,2026-04-24,2026-05-21,70,Partially Available
E00379,2026-05-14,2026-06-07,100,Fully Allocated
E00380,2026-04-07,2026-05-27,40,Available
E00381,2026-03-06,2026-03-22,100,Fully Allocated
E00382,2026-03-13,2026-05-05,50,Available
E00383,2026-03-13,2026-03-20,100,Fully Allocated
E00384,2026-04-02,2026-05-12,90,Partially Available
E00385,2026-01-13,2026-03-19,30,Available
E00386,2026-03-14,2026-04-14,70,Partially Available
E00387,2025-02-04,2025-03-26,20,Available
E00388,2026-04-24,2026-07-07,20,Available
E00389,2026-03-30,2026-04-30,30,Available
E00390,2026-04-26,2026-05-25,70,Partially Available
E00391,2026-03-23,2026-06-04,10,Available
E00392,2026-04-12,2026-05-13,10,Available
E00393,2026-05-02,2026-05-23,80,Partially Available
E00394,2026-05-04,2026-05-22,90,Partially Available
E00395,2026-04-23,2026-05-21,70,Partially Available
E00396,2026-04-17,2026-05-19,70,Partially Available
E00397,2026-05-30,2026-06-16,100,Fully Allocated
E00398,2026-02-10,2026-02-27,90,Partially Available
E00399,2026-03-17,2026-04-03,90,Partially Available
E00400,2026-05-01,2026-06-02,90,Partially Available
E00401,2026-03-05,2026-04-11,70,Partially Available
E00402,2026-02-18,2026-04-21,40,Available
E00403,2026-04-01,2026-04-28,80,Partially Available
E00404,2026-04-26,2026-06-19,40,Available
E00405,2026-05-09,2026-05-28,90,Partially Available
E00406,2025-12-29,2026-03-04,40,Available
E00407,2026-03-27,2026-05-30,10,Available
E00408,2026-03-04,2026-04-21,50,Available
E00409,2026-03-28,2026-06-10,40,Available
E00410,2026-04-10,2026-06-26,60,Available
E00411,2026-04-30,2026-06-17,30,Available
E00412,2026-03-26,2026-05-27,20,Available
E00413,2026-02-02,2026-03-21,60,Available
E00414,2026-03-31,2026-05-11,90,Partially Available
E00415,2026-04-25,2026-06-08,80,Partially Available
E00416,2026-03-01,2026-04-30,50,Available
E00417,2026-04-01,2026-06-08,60,Available
E00418,2026-01-30,2026-02-16,70,Partially Available
E00419,2025-12-12,2026-02-01,10,Available
E00420,2026-04-07,2026-05-11,70,Partially Available
E00421,2026-03-05,2026-04-13,40,Available
E00422,2026-04-04,2026-06-25,10,Available
E00423,2024-12-26,2025-01-17,90,Partially Available
E00424,2026-05-05,2026-07-07,20,Available
E00425,2025-10-26,2025-11-19,80,Partially Available
E00426,2026-04-20,2026-07-11,60,Available
E00427,2025-11-12,2025-12-29,50,Available
E00428,2026-03-13,2026-04-23,10,Available
E00429,2026-02-23,2026-03-23,80,Partially Available
E00430,2026-05-05,2026-06-13,90,Partially Available
E00431,2026-05-16,2026-05-24,100,Fully Allocated
E00432,2026-05-09,2026-06-24,30,Available
E00433,2026-03-01,2026-05-21,60,Available
E00434,2026-04-13,2026-05-24,50,Available
E00435,2026-04-27,2026-05-18,90,Partially Available
E00436,2026-04-11,2026-05-10,90,Partially Available
E00437,2024-03-29,2024-04-29,30,Available
E00438,2026-05-03,2026-06-28,60,Available
E00439,2025-11-27,2026-01-21,60,Available
E00440,2026-05-15,2026-07-08,10,Available
E00441,2025-06-20,2025-07-31,10,Available
E00442,2026-04-21,2026-05-22,80,Partially Available
E00443,2026-04-29,2026-05-29,30,Available
E00444,2025-10-19,2025-11-02,100,Fully Allocated
E00445,2026-04-03,2026-04-22,90,Partially Available
E00446,2026-05-05,2026-07-01,50,Available
E00447,2026-02-06,2026-03-20,70,Partially Available
E00448,2026-02-23,2026-04-03,80,Partially Available
E00449,2026-02-20,2026-03-14,80,Partially Available
E00450,2025-07-06,2025-09-27,50,Available
E00451,2025-09-09,2025-11-29,40,Available
E00452,2026-03-23,2026-05-05,40,Available
E00453,2026-04-18,2026-05-23,40,Available
E00454,2026-03-04,2026-04-05,80,Partially Available
E00455,2026-04-13,2026-04-24,100,Fully Allocated
E00456,2026-04-24,2026-05-18,90,Partially Available
E00457,2025-09-26,2025-10-25,80,Partially Available
E00458,2026-04-24,2026-05-11,70,Partially Available
E00459,2026-03-14,2026-03-31,80,Partially Available
E00460,2026-01-31,2026-03-16,90,Partially Available
E00461,2026-02-16,2026-04-03,50,Available
E00462,2026-03-29,2026-06-12,50,Available
E00463,2023-09-01,2023-10-27,60,Available
E00464,2026-03-09,2026-05-01,40,Available
E00465,2026-03-13,2026-04-21,60,Available
E00466,2026-03-02,2026-05-21,10,Available
E00467,2026-02-23,2026-03-25,70,Partially Available
E00468,2026-04-27,2026-06-12,60,Available
E00469,2023-12-20,2024-03-10,40,Available
E00470,2024-10-20,2024-11-16,90,Partially Available
E00471,2024-04-11,2024-04-26,70,Partially Available
E00472,2026-04-28,2026-06-29,30,Available
E00473,2026-03-10,2026-04-10,90,Partially Available
E00474,2026-02-08,2026-03-27,40,Available
E00475,2026-04-16,2026-07-14,40,Available
E00476,2025-06-28,2025-09-14,10,Available
E00477,2025-11-11,2026-01-23,20,Available
E00478,2026-04-28,2026-05-18,80,Partially Available
E00479,2026-04-01,2026-05-07,30,Available
E00480,2026-02-01,2026-03-04,80,Partially Available
E00481,2026-03-22,2026-05-16,20,Available
E00482,2025-06-20,2025-07-12,100,Fully Allocated
E00483,2026-01-17,2026-02-16,30,Available
E00484,2026-03-13,2026-04-22,10,Available
E00485,2026-03-13,2026-04-21,10,Available
E00486,2026-04-22,2026-05-31,80,Partially Available
E00487,2026-03-02,2026-05-27,10,Available
E00488,2026-04-23,2026-04-30,100,Fully Allocated
E00489,2025-10-21,2025-11-15,90,Partially Available
E00490,2026-04-05,2026-06-29,20,Available
E00491,2026-02-12,2026-03-01,70,Partially Available
E00492,2026-03-28,2026-06-20,30,Available
E00493,2026-04-17,2026-05-17,70,Partially Available
E00494,2026-04-02,2026-05-02,10,Available
E00495,2026-01-02,2026-01-23,70,Partially Available
E00496,2026-02-24,2026-05-07,30,Available
E00497,2026-02-17,2026-03-12,100,Fully Allocated
E00498,2025-03-31,2025-06-19,30,Available
E00499,2026-04-07,2026-07-05,50,Available
E00500,2026-04-06,2026-05-04,90,Partially Available
E00501,2026-04-01,2026-05-23,60,Available
E00502,2026-04-16,2026-05-08,100,Fully Allocated
E00503,2025-12-22,2026-01-22,70,Partially Available
E00504,2024-07-06,2024-08-03,70,Partially Available
E00505,2025-07-21,2025-08-28,40,Available
E00506,2026-03-14,2026-04-18,90,Partially Available
E00507,2026-03-01,2026-05-14,50,Available
E00508,2026-03-04,2026-04-04,60,Available
E00509,2026-03-13,2026-06-02,50,Available
E00510,2025-07-26,2025-09-25,10,Available
E00511,2026-04-06,2026-05-13,40,Available
E00512,2026-04-23,2026-06-27,20,Available
E00513,2026-03-07,2026-04-16,70,Partially Available
E00514,2025-11-16,2026-01-21,20,Available
E00515,2025-01-29,2025-02-27,70,Partially Available
E00516,2026-03-12,2026-05-14,30,Available
E00517,2024-09-06,2024-10-26,50,Available
E00518,2025-02-21,2025-03-30,80,Partially Available
E00519,2025-09-18,2025-10-26,50,Available
E00520,2025-09-09,2025-11-17,40,Available
E00521,2024-12-25,2025-02-07,90,Partially Available
E00522,2026-04-27,2026-06-21,20,Available
E00523,2026-02-05,2026-04-18,30,Available
E00524,2026-01-16,2026-03-08,10,Available
E00525,2025-03-12,2025-04-23,50,Available
E00526,2025-08-08,2025-09-16,90,Partially Available
E00527,2026-04-09,2026-05-15,10,Available
E00528,2025-09-07,2025-11-26,60,Available
E00529,2024-05-07,2024-07-02,40,Available
E00530,2026-04-17,2026-05-31,40,Available
E00531,2026-02-27,2026-03-25,90,Partially Available
E00532,2025-10-11,2025-10-30,100,Fully Allocated
E00533,2026-04-05,2026-06-06,10,Available
E00534,2025-08-25,2025-09-29,80,Partially Available
E00535,2024-05-13,2024-07-06,50,Available
E00536,2025-12-31,2026-01-22,70,Partially Available
E00537,2025-03-12,2025-04-10,80,Partially Available
E00538,2025-10-01,2025-11-06,90,Partially Available
E00539,2026-03-21,2026-05-03,80,Partially Available
E00540,2026-03-20,2026-04-17,80,Partially Available
E00541,2024-01-10,2024-02-01,90,Partially Available
E00542,2024-04-20,2024-06-12,50,Available
E00543,2024-05-14,2024-06-15,50,Available
E00544,2026-03-16,2026-04-26,40,Available
E00545,2025-01-04,2025-03-21,40,Available
E00546,2023-11-19,2023-12-25,80,Partially Available
E00547,2025-01-05,2025-02-19,40,Available
E00548,2024-04-12,2024-05-18,60,Available
E00549,2025-12-10,2026-01-26,10,Available
E00550,2026-04-06,2026-04-25,100,Fully Allocated
E00551,2026-02-05,2026-05-04,30,Available
E00552,2025-09-29,2025-11-20,50,Available
E00553,2026-02-27,2026-04-08,90,Partially Available
E00554,2025-05-31,2025-08-06,10,Available
E00555,2025-07-10,2025-07-26,70,Partially Available
E00556,2026-03-12,2026-04-12,40,Available
E00557,2025-10-28,2025-12-18,60,Available
E00558,2026-04-01,2026-06-20,50,Available
E00559,2026-04-01,2026-06-07,50,Available
E00560,2024-03-21,2024-04-29,70,Partially Available
E00561,2026-03-31,2026-04-24,90,Partially Available
E00562,2026-04-01,2026-05-28,20,Available
E00563,2026-01-20,2026-02-20,90,Partially Available
E00564,2025-12-31,2026-03-21,40,Available
E00565,2026-03-12,2026-04-03,100,Fully Allocated
E00566,2025-07-06,2025-08-07,90,Partially Available
E00567,2025-09-14,2025-12-11,60,Available
E00568,2023-11-27,2023-12-30,70,Partially Available
E00569,2025-08-12,2025-08-20,100,Fully Allocated
E00570,2026-04-01,2026-06-04,10,Available
E00571,2026-03-30,2026-05-13,30,Available
E00572,2026-04-01,2026-05-15,20,Available
E00573,2026-04-01,2026-06-13,30,Available
